"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"82","Suit up this season: @YSL @gucci @MaisonValentino @ThomBrowneNY ",FALSE,8,NA,2017-09-24 18:00:54,FALSE,NA,"912013990330544128",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",0,FALSE,FALSE,NA,NA
"83","In her own words, @rejinapyo's label was inspired by the multiple roles that women play in their everyday lives. ",FALSE,10,NA,2017-09-24 17:25:30,TRUE,NA,"912005083910541313",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",3,FALSE,FALSE,NA,NA
"84","No one does luxury fashion quite like the Italians. Shop our favourite #MFW brands: ",FALSE,15,NA,2017-09-24 12:36:10,FALSE,NA,"911932269534892033",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",1,FALSE,FALSE,NA,NA
"85","Never leave home without a denim jacket (I learned that one from experience!) @atprettybirds's 10 tips for #AW17: ",FALSE,4,NA,2017-09-21 17:06:24,TRUE,NA,"910913110353039360",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",2,FALSE,FALSE,NA,NA
"86","@SvirchevskayaD    .      ,    customerou...",FALSE,0,"SvirchevskayaD",2017-09-21 15:15:43,FALSE,"910843954530324480","910885255544008704","556146841","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
"87","NYC blogger @JovelRoystan's top picks for everyday wardrobe staples: ",FALSE,6,NA,2017-09-17 23:33:31,FALSE,NA,"909560981952585728",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"88","I really think you can never go wrong with a stripe, says @DerekLamNYC. See his 10 favourite ways to wear it: ",FALSE,7,NA,2017-09-17 22:59:21,TRUE,NA,"909552382492729344",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",5,FALSE,FALSE,NA,NA
"89","Don't miss @wethepeoplefsn's takeover on our Instagram Stories during #LFW: ",FALSE,15,NA,2017-09-17 18:34:45,FALSE,NA,"909485794158678016",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",4,FALSE,FALSE,NA,NA
"90","We're head over heels for this season's best shoestake a closer look: ",FALSE,8,NA,2017-09-08 18:19:45,FALSE,NA,"906220527731257345",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","farfetch",4,FALSE,FALSE,NA,NA
"91","Behold the power of @jacquemus: @alicezielasko ",FALSE,6,NA,2017-09-03 22:30:16,FALSE,NA,"904471634018525184",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",1,FALSE,FALSE,NA,NA
"92","#NYFW is almost here! What are you looking forward to?",FALSE,2,NA,2017-09-03 22:18:32,FALSE,NA,"904468682147028994",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farfetch",0,FALSE,FALSE,NA,NA
"93","Everyone's favourite   got a makeover this season: @LoeweOfficial ",FALSE,7,NA,2017-09-03 21:55:06,FALSE,NA,"904462785165262850",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","farfetch",2,FALSE,FALSE,NA,NA
"94","@Juliettteee Can you please send us a DM with the brand and style of shoe so we can look into this for you/ Thanks, Farfetch",FALSE,0,"Juliettteee",2017-09-03 16:41:47,FALSE,"904254142377476096","904383936532447233","36312475","<a href=""http://www.zendesk.com"" rel=""nofollow"">Zendesk</a>","farfetch",0,FALSE,FALSE,NA,NA
